datetime,EVI,growth
1988-07-02,0.32689612456137324,0.0
1988-07-07,0.3368451431765438,1.9096226109544994
1988-07-12,0.35588308673339175,5.563780763477882
1988-07-17,0.37239777159024545,8.733622617763634
1988-07-22,0.392006451325934,12.497328330117876
1988-07-27,0.4132029984924707,16.56581059043458
1988-08-01,0.4334221270521594,20.446686339576544
1988-08-06,0.4504858828793964,23.72191731620888
1988-08-11,0.4625906699745441,26.045319857886412
1988-08-16,0.4692823606098481,27.329728324386195
1988-08-21,0.4716166712358004,27.77777777777778
1988-08-26,0.471286081649968,28.25905365623115
1988-08-31,0.4700882105818669,30.00292725443474
1988-09-05,0.4692743803635025,31.187710048692992
1988-09-10,0.46877837068557826,31.909806278261946
1988-09-15,0.4680871882811005,32.916037064537086
1988-09-20,0.46720846702416496,34.19528893141735
1988-09-25,0.46614984078886745,35.73644840280145
1988-09-30,0.4649189434493042,37.52840200258759
1988-10-05,0.4635234088795707,39.56003625467489
1988-10-10,0.4619708709537631,41.8202376829618
1988-10-15,0.46026896354597735,44.297892811346784
1988-10-20,0.458425320530309,46.98188816372903
1988-10-25,0.45644757578085426,49.861110264006676
1988-10-30,0.4543433631717089,52.92444563607858
1988-11-04,0.4521203165769689,56.160780803843366
1988-11-09,0.44978606987073005,59.55900229119966
1988-11-14,0.44734825692708835,63.10799662204609
1988-11-19,0.4448145116201396,66.79665032028143
1988-11-24,0.44219246782397964,70.61384990980429
1988-11-29,0.4394897594127046,74.54848191451313
1988-12-04,0.4367140202604101,78.58943285830685
1988-12-09,0.43387288424119214,82.72558926508412
1988-12-14,0.4309739852291467,86.94583765874333
1988-12-19,0.42802495709836963,91.23906456318326
1988-12-24,0.42503343372295677,95.59415650230261
1988-12-29,0.42200704897700403,100.0
1989-01-03,0.41895343673460733,100.0
1989-01-08,0.41588023086986253,4.274394188160042
1989-01-13,0.41279506525686555,8.565422692623935
1989-01-18,0.4097055737697123,12.862467875490145
1989-01-23,0.40661939028249855,17.154912098857302
1989-01-28,0.40354414866932037,21.432137724823715
1989-02-02,0.4004874828042736,25.683527115487937
1989-02-07,0.3974570265614541,29.89846263294851
1989-02-12,0.39446041381495783,34.06632663930384
1989-02-17,0.3915052784388805,38.17650149665268
1989-02-22,0.3885992543073182,42.21836956709329
1989-02-27,0.3857499752943668,46.181313212724135
1989-03-04,0.3829650752741221,50.05471479564384
1989-03-09,0.38025218812068,53.82795667795095
1989-03-14,0.37761894770813653,57.49042122174378
1989-03-19,0.3750729879105874,61.03149078912102
1989-03-24,0.3726219426021287,64.44054774218094
1989-03-29,0.3702734456568561,67.70697444302237
1989-04-03,0.36803513094886564,70.82015325374354
1989-04-08,0.36591463235225324,73.76946653644295
1989-04-13,0.36391958374111477,76.54429665321913
1989-04-18,0.362057618989546,79.13402596617071
1989-04-23,0.360336371971643,81.52803683739607
1989-04-28,0.358776228821743,83.69797504073347
1989-05-03,0.3573899935808842,85.62603196816663
1989-05-08,0.35615843843672207,87.33895078398514
1989-05-13,0.35504319255032646,88.89009989178325
1989-05-18,0.35399849686213414,90.34312366387472
1989-05-23,0.3529818248770573,91.75717043312308
1989-05-28,0.35196336942874634,93.17369774718958
1989-06-02,0.35093439542300947,94.60485488519492
1989-06-07,0.3499144585603867,96.02344263679903
1989-06-12,0.3489693622848961,97.33793772922077
1989-06-17,0.3481662217261457,98.4549925207596
1989-06-22,0.34752884627133807,99.34149152525498
1989-06-27,0.34705539155062554,100.0
1989-07-02,0.34672359240400397,100.0
1989-07-07,0.3464973875094406,36.030201729408994
1989-07-12,0.3463349356722358,61.905735842410515
1989-07-17,0.34619802377562,83.71323591328614
1989-07-22,0.3460628663925839,100.0
1989-07-27,0.34593229705894324,100.0
1989-08-01,0.34581627851952174,100.0
1989-08-06,0.34571420015594545,100.0
1989-08-11,0.34562545134984013,100.0
1989-08-16,0.34554942148283213,100.0
1989-08-21,0.3454854999365471,100.0
1989-08-26,0.34543307609261126,100.0
1989-08-31,0.3453915393326506,100.0
1989-09-05,0.345360279038291,100.0
1989-09-10,0.34533868459115846,100.0
1989-09-15,0.34532614537287903,100.0
1989-09-20,0.3453220507650788,100.0
1989-09-25,0.34532579014938364,100.0
1989-09-30,0.3453367529074195,100.0
1989-10-05,0.34535432842081265,100.0
1989-10-10,0.3453779060711887,100.0
1989-10-15,0.3454068752401739,100.0
1989-10-20,0.3454406253093942,100.0
1989-10-25,0.3454785456604756,100.0
1989-10-30,0.3455200256750441,100.0
1989-11-04,0.34556445473472563,100.0
1989-11-09,0.3456112222211464,100.0
1989-11-14,0.34565971751593205,100.0
1989-11-19,0.3457093300007088,100.0
1989-11-24,0.34575944905710276,100.0
1989-11-29,0.3458094640667397,100.0
1989-12-04,0.34585876441124563,100.0
1989-12-09,0.3459038176609761,100.0
1989-12-14,0.34594259798590016,100.0
1989-12-19,0.3459804022552193,100.0
1989-12-24,0.34602730875291815,100.0
1989-12-29,0.3460957721762345,100.0
1990-01-03,0.3461983549170493,0.0
1990-01-08,0.3463455946261967,0.6955600775910152
1990-01-13,0.34654400806069297,1.6328647265373077
1990-01-18,0.3467942312138856,2.814918378079934
1990-01-23,0.3470892957285226,4.208802527157229
1990-01-28,0.34742118092413715,5.776627496044629
1990-02-02,0.34778491512892457,7.494907117550886
1990-02-07,0.3481755266710805,9.340155224486328
1990-02-12,0.34858804387880027,11.28888564965997
1990-02-17,0.34901749508027946,13.317612225881616
1990-02-22,0.3494589086037135,15.402848785960545
1990-02-27,0.34990731277729775,17.521109162706033
