date,cloud_percentage,B1,B2,B3,B4,B5,B6,B7,B8,B9,B11,B12
2024-06-02,98.545957,2136.0996905393454,2047.5393457117593,2151.0437665782492,2063.656940760389,2492.6609195402298,3089.6894341290895,3414.246905393457,3349.565207780725,9686.465738284704,2030.627320954907,1605.4820954907161
2024-06-07,17.620158,434.03934571175944,409.8381962864721,598.1226790450928,525.8514588859416,987.2192749778957,1881.405393457118,2195.7113174182136,2201.8965517241377,2237.242263483643,1406.8406277630418,783.7822723253759
2024-06-12,94.114429,511.0534924845269,674.1237842617151,869.8238284703804,849.1025641025641,1311.2599469496017,2056.0857648099027,2396.519893899205,2316.4765694076045,2609.7283377542003,1871.8742263483641,1208.6419098143235
2024-06-17,5.824821,490.2460212201592,506.6644562334217,706.8083554376656,710.4661803713527,1130.0355879752433,1672.328691423519,1850.017904509284,1790.5762599469494,1923.119363395225,1205.9089301503093,729.7577365163571
2024-06-22,52.752876,337.4761273209549,520.3032714412025,741.4000884173297,952.7979664014148,1293.7849248452696,1595.0563660477453,1783.2692307692305,1851.3587533156497,1858.031830238727,1499.7725464190985,1035.6058797524315
2024-06-27,41.287461,806.5201149425287,791.7181697612732,959.4290450928382,1038.746242263483,1352.0797966401415,1432.2402740937225,1534.1635720601237,1447.7148541114057,3254.4398762157384,795.6321839080459,623.1934129089301
2024-06-27,58.07634,685.5851016799294,696.5349248452694,904.8892572944297,1030.258620689655,1291.4785587975243,1312.8143236074266,1428.5676392572943,1355.4076038903625,1974.2157382847035,773.0028735632183,591.7404951370469
2024-07-02,57.626814,1431.9113616268792,1667.7314323607425,1592.5362511052167,1461.3786472148543,1748.551503094606,1838.3631741821396,1934.7771883289126,1956.535366931919,3900.064102564102,975.6487621573827,668.3121131741822
2024-07-07,74.361563,541.2309902740939,649.7931034482759,787.9064986737401,802.2805039787797,990.7959770114941,1181.6993810786914,1315.4878426171529,1252.3297966401412,1560.4274977895668,838.7239168877098,674.4502652519894
2024-07-12,11.25165,515.4882847038018,587.3346595932803,723.3461538461538,776.8430592396111,1019.6041114058354,1179.1312997347477,1316.1396993810786,1272.219053934571,1472.0196728558797,561.9476127320953,383.7999557913351
2024-07-17,8.538038,402.97767462422627,436.24734748010593,642.3711317418213,731.25,996.90008841733,1124.5943854995576,1202.6653404067192,1133.7796198054823,1187.050839964633,548.5340406719718,342.85035366931913
2024-07-22,3.938079,691.3910256410254,735.0543766578247,839.8063660477455,838.9761273209549,1117.2203801945182,1345.3943412908927,1465.014588859416,1386.7228116710876,1457.832891246684,563.166887709991,344.5948275862069
2024-07-27,3.617859,453.61339522546416,452.29465075154735,643.1788240495137,608.7679045092839,1013.736958443855,1237.6755083996466,1317.8715738284704,1249.059239610964,1400.9745800176834,618.4566755083995,381.8178603006189
2024-08-01,36.543626,554.1766136162688,579.9062776304157,699.6242263483642,635.5775862068966,998.0711759504862,1210.3437223695844,1330.2146330680814,1209.8737842617154,1397.2102122015917,546.0545977011495,342.5404509283819
2024-08-06,6.920046,568.3795313881519,541.6865605658708,706.6503094606542,649.0711759504863,1002.7071175950485,1336.1240053050399,1448.3397435897436,1366.2477895667548,1562.742484526967,692.155172413793,419.0523872679044
2024-08-11,22.536761,611.907824933687,640.0349248452698,770.5214412024757,713.2785145888594,1065.0700707338638,1498.1786030061892,1660.5293987621576,1588.8673740053052,1721.426392572944,1213.1129531388153,691.3132183908044
2024-08-16,60.152566,2368.030946065429,1862.1598143236074,1858.807913351017,1665.7592838196283,2147.753757736516,2710.3501326259943,2874.7139699381073,2680.3010610079573,6728.551061007957,1674.4323607427054,1229.6122900088421
2024-08-21,3.166945,370.7194960212202,410.59969053934566,591.9515915119363,498.1657824933687,885.9259504862954,1559.750884173298,1808.6735190097263,1751.7177276746243,1921.927497789567,1030.5667550839967,585.4111405835545
2024-08-26,10.804164,371.31631299734755,355.3545534924845,548.9392130857648,421.34593280282934,816.6856763925729,1746.4288240495134,2059.3138815207776,1966.258178603006,2215.9904951370468,1089.6613616268787,587.8041556145004
2024-08-31,6.505785,465.2610521662246,491.61958443854996,639.2038019451811,504.00353669319173,873.4922634836428,1816.6529619805478,2256.0731653404073,2166.4095932802825,2403.762820512821,1260.5415561450043,716.3510167992924
2024-09-05,51.22335,10497.238063660476,9097.632625994695,8297.137046861184,7829.341954022988,8417.147435897436,8081.081564986735,7920.478558797524,7603.440539345712,17080.958443854986,6422.447612732094,6073.942086648984
2024-09-10,94.700778,6094.706454465076,6104.230548187444,5738.452696728558,5509.112511052166,5947.55260831123,5821.13240495137,5846.183023872679,5775.983642793986,14926.0,3386.316976127321,3022.4458443854996
2024-09-15,17.164706,387.00906277630406,329.0187886825818,472.02343059239615,302.80128205128204,664.5254199823166,2119.887488947834,2912.659814323607,2863.5041998231654,3039.9259504862957,1252.7606100795756,610.0897435897436
2024-09-20,14.61007,602.5333775419981,585.7935455349249,673.4966843501326,466.26525198938987,833.9542440318304,2219.5393457117593,3070.551945181255,2996.0152519893895,3197.7232537577365,1347.4230769230774,696.6942970822281
2024-09-25,48.046815,681.5972590627763,561.1934129089301,752.1690981432358,548.8397435897435,1016.7612732095492,2674.4982316534038,3582.1403625110524,3484.54531388152,4839.513483642792,1674.3275862068965,929.7126436781607
2024-09-30,13.707282,325.0758178603006,332.88373121131735,480.8687002652519,301.116931918656,684.0747126436784,2070.147435897436,2993.4898320070733,2918.4310344827586,3180.8278072502208,1236.3428381962863,619.639036251105
