datetime,evi
2000-01-01,0.3875575104859297
2000-01-06,0.38736066734572056
2000-01-11,0.3867411181326557
2000-01-16,0.3855402484506195
2000-01-21,0.3839942460537028
2000-01-26,0.38233929869599603
2000-01-31,0.3808115941315902
2000-02-05,0.3796473201145759
2000-02-10,0.37908266439904387
2000-02-15,0.3790715380631557
2000-02-20,0.3793402433990418
2000-02-25,0.37978355498174643
2000-03-01,0.3802962473863133
2000-03-06,0.38077309518778674
2000-03-11,0.38110887296121054
2000-03-16,0.38132052373997927
2000-03-21,0.3814662895125648
2000-03-26,0.3815028932866278
2000-03-31,0.3813870580698287
2000-04-05,0.381075506869828
2000-04-10,0.38052496269428626
2000-04-15,0.379692148550864
2000-04-20,0.3785337874472216
2000-04-25,0.3770066023910197
2000-04-30,0.37506731638991875
2000-05-05,0.36266780644110225
2000-05-10,0.35605320183142175
2000-05-15,0.3502682964922857
2000-05-20,0.34460103131288733
2000-05-25,0.3386093133890706
2000-05-30,0.33253398692442554
2000-06-04,0.3266158961225429
2000-06-09,0.3210958851870129
2000-06-14,0.31621479832142585
2000-06-19,0.31221347972937236
2000-06-24,0.3093327736144426
2000-06-29,0.30781352418022695
2000-07-04,0.30789657563031597
2000-07-09,0.31148831216282263
2000-07-14,0.31794583637325247
2000-07-19,0.3236860700612843
2000-07-24,0.3273273437290416
2000-07-29,0.3340725903513246
2000-08-03,0.34425128401706667
2000-08-08,0.3601381973843559
2000-08-13,0.37983112811421466
2000-08-18,0.3952143400551505
2000-08-23,0.4042375406002511
2000-08-28,0.41105655177541867
2000-09-02,0.4168648093783821
2000-09-07,0.42002650895647636
2000-09-12,0.42257756602322794
2000-09-17,0.44558038351066365
2000-09-22,0.4649512921902123
2000-09-27,0.4474242270017425
2000-10-02,0.4159537480948191
2000-10-07,0.39385270079010615
2000-10-12,0.38488865172614173
2000-10-17,0.3770364613719282
2000-10-22,0.3699199157938258
2000-10-27,0.36316280105819476
2000-11-01,0.3563889032313951
2000-11-06,0.3492220083797872
2000-11-11,0.3412859025697311
2000-11-16,0.3322043718675871
2000-11-21,0.3176186804437367
2000-11-26,0.300286122900498
2000-12-01,0.29050453095213596
2000-12-06,0.3010847288979713
2000-12-11,0.3253002230933367
2000-12-16,0.3441428683365151
2000-12-21,0.35416042888323684
2000-12-26,0.364426829037612
2000-12-31,0.3747231636704924
2001-01-05,0.38483052765273007
2001-01-10,0.3945300158551771
2001-01-15,0.4036027231486855
2001-01-20,0.41182974440410713
2001-01-25,0.41899217449229426
2001-01-30,0.4248711082840987
2001-02-04,0.4292476406503725
2001-02-09,0.43190286646196774
2001-02-14,0.4326178805897365
2001-02-19,0.43117377790453054
2001-02-24,0.42761298228879857
2001-03-01,0.42203009927938184
2001-03-06,0.414284496228722
2001-03-11,0.4053300397054859
2001-03-16,0.3962293179256454
2001-03-21,0.38700478071259925
2001-03-26,0.37767887788974575
2001-03-31,0.3682740592804836
2001-04-05,0.3588127747082115
2001-04-10,0.34931747399632784
2001-04-15,0.3387047360238881
2001-04-20,0.32658610155565393
2001-04-25,0.31402646324358346
2001-04-30,0.3020907137396345
2001-05-05,0.29184374569576527
2001-05-10,0.28435045176393375
2001-05-15,0.28206796408628887
2001-05-20,0.28593131143365513
2001-05-25,0.29472223140100356
2001-05-30,0.30722246158330563
2001-06-04,0.3222137395755325
2001-06-09,0.3384778029726553
2001-06-14,0.35479638936964536
2001-06-19,0.36995123636147387
2001-06-24,0.3827240815431122
2001-06-29,0.3918966625095314
2001-07-04,0.3985998300482487
2001-07-09,0.4044667528361497
2001-07-14,0.4090326453022578
2001-07-19,0.41109373539616445
2001-07-24,0.4096916055196412
2001-07-29,0.4047295017799819
2001-08-03,0.3916908432963468
2001-08-08,0.3732634941287867
2001-08-13,0.36015736779593177
2001-08-18,0.3552417817552175
2001-08-23,0.35221656267022755
2001-08-28,0.3480373878688148
2001-09-02,0.3395623594474904
2001-09-07,0.3282720658469142
2001-09-12,0.3180559139111612
2001-09-17,0.3128033104843069
2001-09-22,0.3192991523757543
2001-09-27,0.33356107850233085
2001-10-02,0.3433276088692481
2001-10-07,0.3467608781801106
2001-10-12,0.35018306632852614
2001-10-17,0.3535727611047118
2001-10-22,0.35690855029888435
2001-10-27,0.3601690217012607
2001-11-01,0.3633327631020577
2001-11-06,0.3663783622914924
2001-11-11,0.36928440705978155
2001-11-16,0.372029485197142
2001-11-21,0.3745921844937907
2001-11-26,0.3769510927399447
2001-12-01,0.37908479772582065
2001-12-06,0.3809718872416355
2001-12-11,0.38259094907760616
2001-12-16,0.38392057102394955
2001-12-21,0.38493934087088255
2001-12-26,0.38580295530756537
2001-12-31,0.38666949786672217
2002-01-05,0.38752113660391563
2002-01-10,0.3883400395747086
2002-01-15,0.3891083748346638
2002-01-20,0.38980831043934405
2002-01-25,0.390422014444312
2002-01-30,0.39093165490513054
2002-02-04,0.3913193998773623
2002-02-09,0.3915674174165702
2002-02-14,0.3916578755783169
2002-02-19,0.3915729424181651
2002-02-24,0.39129478599167766
2002-03-01,0.39080557435441726
2002-03-06,0.3900874755619468
2002-03-11,0.3891226576698289
2002-03-16,0.387211847947205
2002-03-21,0.38448331671403085
2002-03-26,0.3821605466020916
2002-03-31,0.38105294900294534
2002-04-05,0.3809507043924338
2002-04-10,0.381548449028767
2002-04-15,0.3869920726724258
2002-04-20,0.3960009149000744
2002-04-25,0.4001297866941977
2002-04-30,0.3981890413306593
2002-05-05,0.39483260645579893
2002-05-10,0.39038065460781585
2002-05-15,0.3851533583249093
2002-05-20,0.3794708901452785
