datetime,evi
2018-01-01,0.39725857007068444
2018-01-06,0.38731321175016115
2018-01-11,0.3752490088140488
2018-01-16,0.36677155375038417
2018-01-21,0.35991607620584437
2018-01-26,0.3546174606339368
2018-01-31,0.3508105914881689
2018-02-05,0.3484303532220479
2018-02-10,0.34741163028908123
2018-02-15,0.3476893071427763
2018-02-20,0.3491982682366404
2018-02-25,0.35187339802418105
2018-03-02,0.3556495809589055
2018-03-07,0.3604617014943211
2018-03-12,0.36624464408393537
2018-03-17,0.37293329318125557
2018-03-22,0.380462533239789
2018-03-27,0.3887672487130433
2018-04-01,0.39778232405452557
2018-04-06,0.45561932096083585
2018-04-11,0.43785978285121097
2018-04-16,0.4196872582267105
2018-04-21,0.4398293103225915
2018-04-26,0.4652507467843316
2018-05-01,0.47745198351014634
2018-05-06,0.4763089326120649
2018-05-11,0.47498898041330445
2018-05-16,0.47498898041330445
2018-05-21,0.4126637374844472
2018-05-26,0.3490521273197548
2018-05-31,0.3922694065696715
2018-06-05,0.3905592055750852
2018-06-10,0.3805441797820644
2018-06-15,0.3628684718539488
2018-06-20,0.3403705719234245
2018-06-25,0.3047931450027878
2018-06-30,0.2891500161867575
2018-07-05,0.2759032495179169
2018-07-10,0.2459786324051155
2018-07-15,0.24936071660839526
2018-07-20,0.25725659415081475
2018-07-25,0.25142977933026395
2018-07-30,0.24749724463307268
2018-08-04,0.2768311846650926
2018-08-09,0.27557585770777615
2018-08-14,0.27608125021941193
2018-08-19,0.3748421693720774
2018-08-24,0.3882083863170619
2018-08-29,0.40175760271774513
2018-09-03,0.4420102581386921
2018-09-08,0.4758453504981565
2018-09-13,0.4781502530995475
2018-09-18,0.5056326855858256
2018-09-23,0.5189375843951449
2018-09-28,0.5000700644224244
2018-10-03,0.48172386835162007
2018-10-08,0.46358284141355866
2018-10-13,0.45663365375872056
2018-10-18,0.4519456640795382
2018-10-23,0.4169759340549624
2018-10-28,0.4165213586353549
2018-11-02,0.4169759340549624
2018-11-07,0.3763752104419547
2018-11-12,0.32001712202821575
2018-11-17,0.28925101297745115
2018-11-22,0.2900408960448947
2018-11-27,0.291386497514418
2018-12-02,0.2866263536690847
2018-12-07,0.2992739627149206
2018-12-12,0.31259434465037345
2018-12-17,0.32492789125502824
2018-12-22,0.34598706200412765
2018-12-27,0.39109449801708096
2019-01-01,0.37001502532266056
2019-01-06,0.3745843475742125
2019-01-11,0.38886034963958394
2019-01-16,0.38930636516726497
2019-01-21,0.387622659333524
2019-01-26,0.40483451102512685
2019-01-31,0.387622659333524
2019-02-05,0.393123950400873
2019-02-10,0.45237030901275255
2019-02-15,0.4668857444185762
2019-02-20,0.4526197108375092
2019-02-25,0.4581343941804404
2019-03-02,0.46649666645183857
2019-03-07,0.47629900605220893
2019-03-12,0.4849258495930834
2019-03-17,0.48976163368599357
2019-03-22,0.4797666347118819
2019-03-27,0.4648289926736613
2019-04-01,0.46838266312234667
2019-04-06,0.42683168463444104
2019-04-11,0.40669269713040357
2019-04-16,0.45323368108823336
2019-04-21,0.3826999425569296
2019-04-26,0.41326480304861807
2019-05-01,0.3804326523181659
2019-05-06,0.4143809359997319
2019-05-11,0.3625328229275557
2019-05-16,0.38747515244537883
2019-05-21,0.3827022507273611
2019-05-26,0.3945124373017695
2019-05-31,0.41305649704990116
2019-06-05,0.4236864544703073
2019-06-10,0.4601982576134321
2019-06-15,0.4225531894288045
2019-06-20,0.4473434630228156
2019-06-25,0.3634597947329346
2019-06-30,0.3630613079212798
2019-07-05,0.353832294969564
2019-07-10,0.32315419556045893
2019-07-15,0.3374291751965364
2019-07-20,0.3446903589349241
2019-07-25,0.3002814631882206
2019-07-30,0.29842505871714514
2019-08-04,0.28782237908332664
2019-08-09,0.30399178834516655
2019-08-14,0.3404909083627566
2019-08-19,0.3436622541122465
2019-08-24,0.4251305873571758
2019-08-29,0.39247082554579554
2019-09-03,0.46521247240660013
2019-09-08,0.4248498100661289
2019-09-13,0.4436426512961442
2019-09-18,0.4812142122425679
2019-09-23,0.5230892496752835
2019-09-28,0.49056407350633574
2019-10-03,0.4442079155803565
2019-10-08,0.494648665502906
2019-10-13,0.4642947682816619
2019-10-18,0.4283114604135515
2019-10-23,0.5109918514224485
2019-10-28,0.46185805675689734
2019-11-02,0.35489561788918517
2019-11-07,0.3479016186916917
2019-11-12,0.35873855122594955
2019-11-17,0.37741280687655554
2019-11-22,0.3899068440205803
2019-11-27,0.3371914507808845
2019-12-02,0.37255479442371325
2019-12-07,0.3334969112427637
2019-12-12,0.3758998633435507
2019-12-17,0.33062686692266186
2019-12-22,0.3408661973976519
2019-12-27,0.35884736360714864
2020-01-01,0.347367022029066
2020-01-06,0.3315068566115588
2020-01-11,0.3315068566115588
2020-01-16,0.32536199751059536
2020-01-21,0.3315068566115588
2020-01-26,0.33942963887953864
2020-01-31,0.3481922346640093
2020-02-05,0.35772174628574877
2020-02-10,0.3679452760655351
2020-02-15,0.37878992632414626
2020-02-20,0.39018279938236033
2020-02-25,0.4020509975609552
2020-03-01,0.4143216231807089
2020-03-06,0.451149601576954
2020-03-11,0.43903524117924575
2020-03-16,0.48377322778708814
2020-03-21,0.48487381329601026
2020-03-26,0.4819833117709536
2020-03-31,0.45667991017234255
2020-04-05,0.4576201202173391
2020-04-10,0.44232174845091005
2020-04-15,0.4530491968305939
2020-04-20,0.4319937660742786
2020-04-25,0.4158629542299474
2020-04-30,0.45602600005140537
2020-05-05,0.4290039629414285
2020-05-10,0.4092012119560388
2020-05-15,0.4101740059453195
2020-05-20,0.4026138194335335
