date,cloud_percentage,B1,B2,B3,B4,B5,B6,B7,B8,B9,B11,B12
2022-02-03,45.468894,3668.4188770999112,4083.218169761273,3733.6909814323603,3398.0671971706456,3673.0139257294427,3868.8251547303266,4050.4111405835542,3994.1045534924847,4312.402298850573,3458.931697612732,2938.1936339522545
2022-02-08,99.775499,12864.240274093721,11204.027851458884,9915.246684350133,9112.21794871795,9783.129752431476,8870.47679045093,8408.171750663128,8397.789566755082,16269.600574712646,2424.140583554377,2891.8733421750658
2022-02-13,99.960089,16616.972811671083,8523.130857648097,7941.365163572058,7612.377984084881,10167.496021220159,9871.488063660476,9902.764588859416,7683.763925729442,5862.370689655172,2273.1098585322725,2325.679045092838
2022-02-18,98.237485,13693.851458885938,11390.061007957558,10118.478779840849,9349.627763041553,10487.381078691427,9352.119584438551,8750.093943412909,8767.135720601236,16372.4341290893,2355.0154730327145,2994.250884173298
2022-02-23,91.901481,3219.5024314765697,2838.5143678160916,2631.6781609195405,2356.185897435897,2688.223253757736,3313.433687002652,3677.0207780725013,3536.9845269672846,6217.4060565870905,2213.988063660477,1763.5948275862067
2022-02-28,99.975717,3378.24756852343,2817.5212201591507,2681.260389036251,2486.181697612732,2869.6713085764804,3498.2623784261714,3761.973253757736,3433.4171087533155,6684.6699823165345,1590.7349690539345,1232.6396993810788
2022-03-05,92.745984,6354.285587975242,6493.032714412024,5703.564544650752,5240.524314765694,5281.258399646331,5375.588417329796,5542.422413793103,5489.068302387266,15273.774314765693,3061.0183465959326,3063.082670203359
2022-03-10,62.983763,340.3320070733863,347.7325375773651,629.0751547303272,354.61671087533153,1012.9500442086648,2991.6786030061894,3609.177497789567,3473.498452696729,3663.8110079575586,1683.1967285587973,829.471264367816
2022-03-15,99.992806,0.0,1724.466401414677,2008.9076038903627,1997.6637931034481,1214.335985853227,2447.8355437665773,3235.6286472148536,3759.4962422634835,916.5316091954021,1806.0720601237845,1289.2986295313879
2022-03-20,39.149764,329.64412024756854,379.2020335985853,610.6914235190096,589.0163572060123,1042.4741379310346,2004.7243589743591,2421.1052166224576,2365.10875331565,2908.448054818745,1678.8317860300617,978.1080901856762
2022-03-25,94.452989,7220.902077807248,6367.2844827586205,5916.444297082227,5539.726790450928,6007.886162687887,5965.343280282935,6139.46021220159,5671.238505747127,12147.678381962865,4391.89124668435,3596.9281609195396
2022-03-30,58.085853,2114.7973032714417,1407.7528735632181,1540.9580017683465,1556.0616710875333,1932.1454465075158,2721.38041556145,3121.28492484527,2715.4719274977892,4714.976348364278,1989.150309460654,1353.7188328912468
2022-04-04,53.362381,1952.78448275862,1482.0541556145001,1532.1604774535808,1471.163351016799,1960.5718390804595,2775.7128647214854,3223.902740937224,2902.5276304155614,9122.069628647212,2302.472590627763,2070.0919540229884
2022-04-09,53.078687,346.95800176834655,863.5274093722368,910.753094606543,833.5097259062779,1177.403846153846,1856.855216622458,2128.2495579133506,2348.1169319186556,2692.7234748010615,1524.4971264367816,904.7683465959328
2022-04-14,26.942891,430.4867374005305,484.6005747126437,640.8603006189212,596.8625110521662,952.5360300618921,1626.9232979664014,1924.82382847038,1828.8335543766577,2329.057250221043,1171.0077365163572,639.0572502210433
2022-04-19,71.53008,627.1233421750663,608.18258178603,876.6976127320953,799.4014146772766,1292.6047745358092,2173.324712643678,2452.875773651636,2348.547082228116,3865.2232537577356,1453.2732095490717,864.1193633952254
2022-04-24,75.385082,2112.809239610964,1807.6657824933689,1714.255305039788,1545.3083554376658,1766.7729885057474,2148.090185676392,2407.7272325375766,2258.311671087533,4559.961317418213,1476.2245800176836,1137.4376657824932
2022-04-29,88.617659,5796.175287356322,5000.350795755968,4616.999336870026,4457.250442086648,5100.726127320952,5369.635499557913,5413.943633952255,5105.628647214853,16246.600574712642,3891.879752431477,3525.75884173298
2022-05-04,95.396984,1096.4294871794873,1108.883952254642,1310.7365163572056,1203.8795313881521,1733.3454907161802,2802.1794871794873,3231.2296640141462,3119.5408930150306,5978.054818744474,2072.3596374889476,1471.1284261715296
2022-05-09,54.23581,951.7579575596817,844.7705570291777,975.3174182139697,779.345711759505,1250.3019451812559,2457.385720601238,2781.2172855879753,2675.81940760389,2695.4889478337755,1525.774756852343,844.3941202475685
2022-05-14,76.948839,1705.4924845269672,1807.0632183908044,1755.4058355437664,1588.0994694960214,1876.2499999999993,2334.720822281167,2551.189213085765,2507.7581786030055,5849.213527851459,1481.8961096374887,1087.2555260831123
2022-05-19,58.646935,587.1662245800177,605.6301945181256,855.0893015030947,690.1529619805483,1270.613395225464,2467.9911582670197,2778.8770999115827,2694.066534040672,2614.666887709991,1541.649646330681,866.9283819628647
2022-05-24,98.869771,3351.223253757736,3261.4241821396995,3022.348585322723,2749.419761273209,3116.1067639257294,3430.8355437665778,3580.961538461539,3604.0835543766575,12398.889478337751,1876.3835101679929,1710.1503094606544
2022-05-29,57.37235,1799.236074270557,2551.7557471264363,2498.7831564986736,2226.847038019452,2702.3415119363394,3491.53934571176,3696.0353669319184,3928.5022104332447,6061.774535809019,2763.4520335985853,2050.9986737400527
2022-06-03,36.236203,306.0377984084881,396.62046861184785,612.7422634836427,580.6184792219274,1031.820070733864,1784.0881962864719,2039.8527851458887,1932.7707780725025,2024.5691865605659,1355.3817418213973,802.2168435013263
2022-06-08,79.894561,1191.8114500442084,1215.0621131741825,1586.7824933686998,1697.418656056587,2123.0000000000005,2655.0393457117593,2896.9328028293544,2634.5773651635714,3763.766357206011,1758.999115826702,1299.5437665782492
2022-06-13,96.022856,3715.2080017683465,3199.261715296198,2960.5663129973477,2731.802387267904,3097.422855879752,3157.3258178603,3165.599248452696,3050.486516357206,16738.81852343059,1654.459106984969,1489.0179045092837
2022-06-18,55.295223,1277.4151193633952,1483.2663572060123,1497.7062334217505,1413.4064986737399,1761.1476569407603,2087.9336870026523,2179.4588859416444,2223.2292219274973,5812.685455349248,1220.1109637488946,871.6781609195401
2022-06-23,78.417277,674.2953138815208,730.5000000000001,891.6774977895667,928.2590627763038,1209.1792661361626,1435.0190097259062,1594.7789566755084,1511.839522546419,2801.5083996463304,995.0384615384615,718.0625552608311
2022-06-28,19.222593,463.30415561450036,495.680813439434,697.8278072502211,728.3806366047745,1052.1805923961097,1425.8406277630413,1564.6472148541113,1494.4675066312998,1699.6618037135277,780.0097259062776,480.4131299734748
2022-07-03,57.132185,565.5198938992041,634.0205570291777,790.549071618037,757.7791777188327,1083.2276746242264,1548.9325817860301,1751.870910698497,1604.0320512820515,1677.3896993810783,838.5837754199822,520.4714854111404
2022-07-08,7.82618,239.2455791335101,282.5576923076923,496.7309902740937,502.10831122900083,837.9281609195402,1364.977011494253,1505.3118921308576,1456.4706012378426,1512.7851458885943,661.1131741821395,353.77387267904504
2022-07-13,92.77665,8686.092617152959,8259.84217506631,7179.92130857648,6402.931697612733,6570.200044208665,6127.515915119363,6089.275198938992,6015.694518125552,17129.40274093722,4017.1874447391688,3421.9425287356325
2022-07-18,27.350762,294.78006189213085,318.4706012378426,514.7446949602121,461.3927939876216,823.9507073386382,1470.2446949602122,1656.5130415561448,1538.320070733864,1569.4820954907161,734.0742705570293,398.3969938107869
