date,cloud_percentage,B1,B2,B3,B4,B5,B6,B7,B8,B9,B11,B12
2023-09-16,15.965821,207.39080459770113,234.27144120247561,401.94098143236073,225.3063660477453,647.5150309460654,2196.6918656056587,3193.1823607427045,3158.48673740053,3272.0515030946067,1351.0176834659592,670.3941202475685
2023-09-21,24.939299,419.5510610079576,365.0419982316534,543.9814323607426,338.36803713527854,794.9531388152079,2512.1498673740043,3465.688770999116,3440.5137046861187,3603.4683908045968,1458.9343501326257,712.9011936339521
2023-09-26,8.465694,346.68412908930145,372.2544208664898,548.9186560565869,388.8660477453582,818.2705570291777,2170.166666666667,2947.61715296198,3038.738505747127,3189.197391688771,1338.309239610964,728.4522546419097
2023-10-01,13.992079,497.9701591511935,473.76436781609186,673.8240495137048,487.9708222811671,978.7497789566754,2317.993147656941,2929.265030946065,2977.257294429708,3155.8421750663138,1381.7789566755082,737.2040229885058
2023-10-06,7.122853,437.94098143236084,500.06719717064556,709.8775419982317,513.5862068965517,1065.4308134394337,2297.7862511052167,2901.1299734748004,2888.2595048629523,3106.716180371353,1412.6226790450928,754.5280725022103
2023-10-11,13.35437,434.83465959328026,460.53116710875327,715.5771441202477,557.5309460654287,1140.865605658709,2393.2099911582673,2872.315649867374,2873.7745358090187,3077.2466843501325,1435.6273209549072,759.1114058355438
2023-10-16,14.728852,436.6520778072502,510.9573386383731,744.983421750663,643.773430592396,1213.0457559681697,2204.7148541114057,2627.6443412908934,2634.1836870026523,2805.9398762157384,1531.339964633068,884.4367816091952
2023-10-21,24.413066,468.2369584438549,497.2992926613617,771.6640141467727,721.0985853227232,1324.989389920424,2250.6304155614503,2567.701370468612,2563.3879310344823,2754.9396551724135,1592.5895225464187,916.5322723253759
2023-10-26,18.817836,465.08134394341283,601.8423961096375,829.7469053934572,886.8401856763925,1340.6808134394337,1864.9449602122017,2091.6122900088417,2081.55459770115,2250.2508841732983,1878.362068965517,1270.0322723253757
2023-10-31,23.836944,746.7093280282936,758.8472590627761,944.9865163572058,1008.8828470380196,1374.4871794871792,1845.6067639257296,2008.946949602122,1965.928381962865,2198.022767462422,1849.8532272325374,1366.9084880636606
2023-11-05,63.947982,789.5744916003538,893.6679929266136,1070.4056145004417,1178.9025198938991,1576.5643236074272,2057.319186560566,2304.8364279398766,2227.0908488063665,2413.0963748894787,2089.269009725906,1434.146109637489
2023-11-10,77.629423,812.9723695844386,847.2508841732977,1006.0981432360744,1087.378647214854,1408.8368700265253,1790.3843943412908,1941.4328028293546,1910.2084438549946,3332.754199823165,1553.7791777188334,1114.016799292661
2023-11-15,95.659178,2487.403625110522,2538.4975685234303,2544.087312113174,2382.955791335101,2753.297303271441,3151.049292661362,3344.6372679045094,3411.619363395225,10511.62599469496,1935.7674624226345,1685.6896551724135
2023-11-20,28.968346,639.9575596816976,664.6843501326259,885.0119363395223,980.5119363395225,1352.4301503094605,1815.1063218390802,1968.040008841733,1905.8388594164453,2034.7170645446508,1921.8273651635723,1360.0296198054816
2023-11-25,100.0,7960.239832007072,7649.972148541112,7626.912466843501,7684.026525198937,7880.161803713525,8009.096374889476,8264.752873563217,8153.711317418216,5917.206233421749,2358.0265251989385,2646.961538461539
2023-11-30,90.398562,1545.871352785146,1349.162466843501,1508.1905393457118,1261.8253757736513,1836.164235190097,3053.839743589743,3376.290671971706,3206.727453580902,4217.11317418214,2130.1909814323612,1324.135941644562
2023-12-10,98.340774,4192.293103448276,3894.3974358974347,3794.383731211317,3599.8196286472153,4148.694518125551,4477.952475685234,4552.296861184792,4533.128647214854,14899.0,2167.5176834659583,2195.300839964633
2023-12-15,42.029092,321.28359858532264,383.99270557029183,716.9179929266136,509.2639257294429,1168.4056145004415,2556.9916003536696,2965.535587975243,2913.2557471264363,2729.1819186560565,1777.7541998231652,1004.1019009725907
2023-12-20,3.836001,383.38505747126436,382.49712643678157,703.4080459770115,530.2785145888594,1123.852122015915,2523.670203359859,2864.287577365163,2888.3003978779843,2666.3123342175068,1759.57824933687,970.8545534924841
2023-12-25,99.102998,1244.1025641025637,1230.4610963748894,1481.6898762157382,1355.2858090185675,1921.4484969053933,3067.0444297082236,3613.4566755083993,3502.8010610079573,3816.380857648099,2079.303050397878,1318.8346595932805
2023-12-30,97.03058,1712.7599469496022,1610.7811671087534,1680.3477011494253,1520.4524756852343,1956.716622458002,2689.2183908045977,2919.9931476569413,2997.193854995579,10218.931918656055,1572.236958443855,1284.6580459770116
2024-01-04,95.002359,1918.0225464190976,1910.6067639257292,2002.185013262599,1927.26525198939,2392.5033156498675,3130.6469938107875,3489.888152077808,3332.877320954907,6653.668213969938,2617.8068081343936,2284.6993810786917
2024-01-09,52.358729,116.59040671971707,86.32692307692308,249.23408488063652,166.21419098143238,412.38881520778074,1381.9918213969938,1742.3366489832008,1609.5683023872682,1143.1492042440316,759.576923076923,386.06189213085764
2024-01-14,85.626143,593.6226790450929,616.4111405835545,811.5959328028295,707.3952254641911,1064.7546419098144,2213.984969053935,2776.690981432361,2694.028956675508,2620.421087533157,1495.7749778956675,889.9109195402298
2024-01-19,99.987352,7388.44982316534,7272.057471264368,7279.0415561450045,7307.382847038018,6919.892130857647,7228.458664898319,7578.002873563217,7562.896551724137,3480.106984969054,1999.8311229000885,2055.3355437665787
2024-01-24,99.963683,1587.702475685234,1511.717948717949,1610.3675950486293,1474.3839522546418,1884.456012378426,2939.9714854111407,3477.938770999116,3286.1003536693192,3721.4434129089295,1928.3397435897436,1316.8238284703802
2024-01-29,95.135182,8446.424403183024,8121.358974358975,7861.19186560566,7707.063218390803,8161.719274977895,7873.932360742706,7816.598585322722,7504.244916003536,14778.782714412024,4834.75884173298,3695.516578249337
2024-02-03,83.657229,2764.0475243147653,2185.7228116710876,2194.304818744474,2151.4263925729438,2573.939434129089,3038.082007073387,3306.8010610079564,3017.8797524314764,9833.098585322727,2546.1573828470373,2361.000884173299
2024-02-08,49.782535,624.1286472148541,637.5165782493368,819.3227232537577,681.8961096374887,1184.80216622458,2122.9031830238723,2383.5446507515476,2286.573607427056,2283.808134394342,1548.4454022988505,936.0039787798408
2024-02-13,75.96789,2688.0512820512818,2348.1889920424405,2364.5030946065426,2150.755968169761,2553.680813439433,3084.6987179487173,3401.377320954907,3215.3355437665778,5784.609637488948,2299.2396109637484,1696.356542882405
2024-02-18,48.410457,5744.773651635721,5343.73717948718,4949.173076923076,4670.870910698497,5136.575154730328,5277.308797524315,5341.394783377543,4925.835101679929,10366.336427939877,3951.204686118478,3302.231432360743
2024-02-23,61.178958,625.603006189213,681.1114058355438,849.7022546419099,892.1542882404951,1214.053050397878,1481.2853669319186,1688.9966843501325,1552.363395225464,2454.965959328029,879.033819628647,597.7177276746243
2024-02-28,99.998826,4520.215959328028,4106.553492484527,4054.515915119363,3922.4772325375775,4044.114058355437,4578.276304155615,4957.037135278514,4734.404288240494,2403.847259062776,2093.2749778956672,1883.7009283819627
2024-03-04,84.260339,2205.711096374889,1767.6140583554375,1780.202475685234,1693.420866489832,2008.7530946065428,2398.067639257294,2662.729000884173,2382.565428824049,5430.438549955792,1720.6450044208664,1306.6005747126437
2024-03-09,99.999648,8080.312334217505,8021.448717948719,8084.672413793105,8155.493810786913,7844.2164014146765,8055.750442086649,8340.168213969937,8350.470822281166,3175.6845711759497,2895.9458443854996,2486.317197170645
2024-03-14,99.820298,12433.018567639256,11095.37356321839,10605.290008841735,10419.640141467726,11188.037577365163,10377.976569407603,10347.639036251107,9642.562776304154,14830.0,3356.8976569407596,2925.0141467727667
2024-03-19,6.739065,305.54686118479214,357.8247126436782,589.6682139699382,511.35300618921303,935.6379310344824,1550.6677718832889,1800.9763483642794,1712.7725464190978,2299.6023430592395,981.9049513704684,521.3229442970824
2024-03-24,36.644605,471.7842617152963,521.4341290893015,696.7075596816976,560.9367816091954,989.4469496021218,1680.9549071618037,1992.9595490716183,1874.3446065428825,2359.7164014146774,1298.217285587975,695.7553050397877
2024-03-29,33.465278,523.7141909814324,493.15008841732975,664.5499557913349,514.2274535809017,937.6038903625109,1734.5269672855882,2026.0727232537574,1874.9378868258177,2371.628205128205,1009.2212643678162,521.9016357206013
