================================================================================
SAWAH CLASSIFICATION KNN-DTW TUNING EXPERIMENT
Date: 2025-05-21 15:00:49
Dataset: evi_campaka.csv
Labels: label_sawah_campaka.csv
EVI mode: True
================================================================================

EXPERIMENT PARAMETERS:
DTW constraints: ['sakoe_chiba']
DTW slopes: [1]
DTW radii: [15, 30, 60]
KNN values: [3, 7, 11, 15, 19]
Start years: [2015, 2018, 2021]
Year spans: [3, 5, 7]

Total combinations to test: 135

RESULTS:
--------------------------------------------------------------------------------
Iter  Year Range      DTW Parameters       k               Accuracy   Time (s)       
--------------------------------------------------------------------------------
72    2018-2023       sakoe_chiba, slope=1, rad=60 7               0.8449     957.13         
73    2018-2023       sakoe_chiba, slope=1, rad=60 11              0.8384     957.87         
74    2018-2023       sakoe_chiba, slope=1, rad=60 15              0.8423     957.23         
75    2018-2023       sakoe_chiba, slope=1, rad=60 19              0.8436     976.36         
76    2018-2025       sakoe_chiba, slope=1, rad=15 3               0.8201     1742.58        
77    2018-2025       sakoe_chiba, slope=1, rad=15 7               0.8514     1711.49        
78    2018-2025       sakoe_chiba, slope=1, rad=15 11              0.8436     1658.01        
79    2018-2025       sakoe_chiba, slope=1, rad=15 15              0.8449     1674.68        
80    2018-2025       sakoe_chiba, slope=1, rad=15 19              0.8475     1733.82        
81    2018-2025       sakoe_chiba, slope=1, rad=30 3               0.8318     1749.33        
82    2018-2025       sakoe_chiba, slope=1, rad=30 7               0.8514     1684.26        
83    2018-2025       sakoe_chiba, slope=1, rad=30 11              0.8514     1686.04        
84    2018-2025       sakoe_chiba, slope=1, rad=30 15              0.8501     1754.87        
85    2018-2025       sakoe_chiba, slope=1, rad=30 19              0.8475     1756.77        
86    2018-2025       sakoe_chiba, slope=1, rad=60 3               0.8345     1740.32        
87    2018-2025       sakoe_chiba, slope=1, rad=60 7               0.8566     1732.55        
88    2018-2025       sakoe_chiba, slope=1, rad=60 11              0.8553     1782.73        
89    2018-2025       sakoe_chiba, slope=1, rad=60 15              0.8475     1748.89        
90    2018-2025       sakoe_chiba, slope=1, rad=60 19              0.8462     1769.65        
91    2021-2024       sakoe_chiba, slope=1, rad=15 3               0.8135     207.64         
92    2021-2024       sakoe_chiba, slope=1, rad=15 7               0.8370     208.93         
93    2021-2024       sakoe_chiba, slope=1, rad=15 11              0.8318     215.64         
94    2021-2024       sakoe_chiba, slope=1, rad=15 15              0.8344     209.57         
