datetime,temperature_2m,temperature_2m_min,temperature_2m_max,soil_temperature_level_1,soil_temperature_level_2,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,total_precipitation_sum,dewpoint_temperature_2m,surface_solar_radiation_downwards_sum,surface_net_solar_radiation_sum,total_evaporation_sum,u_component_of_wind_10m,v_component_of_wind_10m,temperature_range
2013-01-01,294.2474301521672,292.67953052480425,296.33546689700876,295.7401020770513,296.2591918773261,0.4693380440516401,0.4809984512275335,0.477036913656029,0.0312942019520783,293.2681557895265,8436063.568710359,7190934.097251585,-0.002172105990933,0.4339928119597593,0.3703294690853277,3.6559363722045077
2013-01-02,295.01285387110426,292.7142626578913,298.47055111778207,296.46264989179485,296.40280903956676,0.4416077636009039,0.4574872595563247,0.4865114898896705,0.0071055247276061,293.37125583699765,14426260.566596191,12289543.386892175,-0.0031846412211404,0.2232308855688513,-0.436015783018256,5.756288459890754
2013-01-03,295.5208667542751,293.2947016387359,300.03003171634475,296.8475009402059,296.7434965124258,0.4568852914564201,0.4642972805031257,0.4803864920618166,0.0063659616680009,293.4442548274658,15235556.050739955,12980559.517970402,-0.003390951556632,0.3157551581797421,-0.2590735692890535,6.7353300776088645
2013-01-04,294.5528249599465,292.35051293403353,297.18273296719116,296.22651919821266,296.51755631616874,0.4664662248908506,0.4753894133833278,0.4825009499913458,0.0302675824714751,293.049422900554,12382206.630021142,10541041.09090909,-0.0031236041175796,0.7082830101272605,-0.3863937204534358,4.8322200331576255
2013-01-05,294.15637318326856,292.5627257849147,297.04414245089316,295.6213829855082,296.0486740222525,0.4500313047122753,0.4474138901047172,0.4876494740330895,0.0087681553227341,292.5164835878121,10535478.909090906,8971712.012684988,-0.0026596308593297,0.8119626090592107,0.291198952085456,4.481416665978486
2013-01-06,294.37658888458617,293.25978575498806,296.0600824658513,295.33597015208807,295.71342711149595,0.4778581905566613,0.4688360161811554,0.4789324001664422,0.015726332656315,293.3910136972203,6293435.365750528,5357474.215644821,-0.0017114866182334,0.7308139021418478,0.5671019128210699,2.800296710863222
2013-01-07,294.3006428469227,292.26760031960225,296.79753374095696,295.4361929271824,295.77648959384993,0.4565162483951925,0.4759358694387036,0.4796366365633017,0.0112293130876975,293.1156873346803,9427553.403805496,8026754.435517971,-0.0024024009287168,0.7992404564070483,1.141417732198445,4.529933421354713
2013-01-08,294.7419822335327,293.03506798774447,298.2071769020774,295.97445881274314,295.96891816793146,0.4594593773936621,0.4686592900475789,0.476467003529974,0.0081538616458645,292.80475267782606,15146145.378435517,12887017.56871036,-0.0036503712963667,1.1425141017986402,1.0757259290935792,5.1721089143329095
2013-01-09,293.9719682697514,292.72407657550707,296.3708625132135,295.20910685258985,295.6763638959458,0.4665911797489223,0.4756382141758473,0.4773158462556672,0.0233166010825881,293.1198796735337,8169671.864693445,6948180.460887949,-0.0022900408649734,1.227418903316554,0.8418858006775085,3.646785937706454
2013-01-10,294.3910832274036,292.9158681986448,297.2842348836693,295.59498301284935,295.71008012864354,0.4656634045117668,0.472390953800559,0.4827771472460455,0.0045978171313337,292.7625844618063,13129846.139534883,11176916.854122622,-0.0030295415673145,1.6378331632157124,1.3218696896167943,4.368366685024512
2013-01-11,295.156457605288,292.8230595659252,298.48988603587884,296.52952254297367,296.25488969857963,0.4571065479302759,0.4592465016941019,0.4754921830481756,0.0036663387907078,293.0479930611543,17317288.118393235,14729111.37843552,-0.0038544469597664,1.411356775503582,0.2635755733842157,5.666826469953662
2013-01-12,294.5830242622058,292.6634553098779,297.27815485303046,296.20743978687193,296.32428416305225,0.4515462449270709,0.4645573103234665,0.4705197345714824,0.0084787614061099,292.8812021358993,14694586.86680761,12493028.964059196,-0.003409586484538,0.4393294017192257,-0.5141858066615291,4.61469954315254
2013-01-13,294.61089534369717,292.7401262085735,298.8534566221983,296.2708014796703,296.3105031820651,0.4614162189679888,0.4683180426610365,0.465780599592772,0.0084716510168266,292.8258553438408,15714602.841437632,13362962.879492598,-0.0036669177796699,0.5664092151945622,-0.5800414485272763,6.113330413624794
2013-01-14,294.1743301192667,292.6051235723193,297.16815437171726,295.7197512478119,296.03404112984543,0.4625494125613534,0.4710904229602988,0.4626414411247743,0.0083831424314589,292.683328314009,10670302.90909091,9068078.541226214,-0.0025039242411201,0.0036986366470906,-0.6255274806919863,4.56303079939795
2013-01-15,293.75559237710684,292.1377877685031,296.69196188928714,295.3723287884831,295.7450701046191,0.454745126661068,0.4712637134468664,0.4647290644467591,0.0105963293769696,292.6403007077196,10610350.00422833,9016579.213530654,-0.0025925931755067,0.0668569743591265,-0.7307464699244481,4.554174120784069
2013-01-16,294.4342370990971,292.9272302220286,296.54200444614656,295.72378867608376,295.75194903340787,0.4609102594592018,0.4635081019008386,0.4640487982741202,0.0043249399856029,292.80904257641953,13060701.243128965,11099510.921775898,-0.00306124536293,-0.3452945652774221,-1.317429469033309,3.61477422411798
2013-01-17,294.1458054166851,292.68859540685287,297.30519036258755,295.5412925292775,295.7936996556739,0.4692582875763219,0.4625706971741797,0.4591463114528105,0.0064146229512804,292.9312980334636,10512055.585623678,8937773.742071882,-0.0025304912177975,-0.4143117457061187,-1.147154574330379,4.6165949557346835
2013-01-18,294.03751510259883,291.840568977985,296.76835848463514,295.16636048680544,295.5323093930459,0.4776150607323461,0.4710375642675677,0.4554808914367373,0.0049718867585724,292.81545802217875,8558412.456659619,7284665.78012685,-0.0021138295381631,-0.0445930919149881,-0.617682438152117,4.927789506650129
