datetime,heat_index,maximum_temperature,minimum_temperature,relative_humidity,saturation_vapor_pressure,vapor_pressure_deficit,temperature_range
1983-01-01,23.462740638646135,26.517210742620023,19.696070686100033,89.84606768390326,2.9035469833321454,0.3128449374252534,6.82114005651999
1983-01-02,24.15334493782264,27.153581893350193,20.448533407346467,86.8944912407342,3.0258306321196664,0.4185028058572078,6.705048486003726
1983-01-03,21.231049031201728,23.15564919268991,18.63380812847708,96.80229102908156,2.511663107421455,0.0878337489983697,4.521841064212829
1983-01-04,22.81527760356326,25.868549733650024,19.058581791524812,91.97280090812625,2.792627487595625,0.2393535526366684,6.809967942125212
1983-01-05,23.31481871016695,26.30616644236046,19.533763784123213,93.52928376385546,2.8697485210388667,0.1993180907617403,6.772402658237247
1983-01-06,22.762067524466925,25.612932659509617,19.21628610355647,91.83457577322412,2.7783449226477015,0.2420996864010968,6.396646555953147
1983-01-07,22.776830085827818,25.675971155091535,19.188078929120163,91.56447544248084,2.782746289658734,0.2505302141149212,6.487892225971372
1983-01-08,22.141707963517963,24.64685125801507,18.886239885345216,96.43839839124304,2.6627728882737047,0.1035235214421129,5.760611372669853
1983-01-09,23.500427019147626,27.13643315457922,19.110374304253284,91.38469622454303,2.9270363947537943,0.2689890426209592,8.026058850325935
1983-01-10,23.391893592093552,26.279137945550637,19.73607420358132,92.38459375336414,2.8817096878224473,0.2344552292011854,6.543063741969316
1983-01-11,22.962172283796715,26.57013450081893,18.649563004651412,91.45954485014668,2.8363735896395887,0.2586935792030312,7.920571496167518
1983-01-12,23.64025222764971,26.48587105217881,20.09102327992597,88.82091745992344,2.9289304215138348,0.3467217641992597,6.394847772252838
1983-01-13,22.89175377325957,25.475309172953217,19.6320590259522,90.58270705215574,2.7957085779332744,0.2811988235458613,5.843250147001019
1983-01-14,22.597460659157257,26.122057471688336,18.37496770648506,92.58482851944572,2.7718100435151825,0.2199445711815451,7.7470897652032775
1983-01-15,22.9887255804641,25.678220910350166,19.586552905285455,91.68048995310866,2.811060069583532,0.2494098826890855,6.091668005064712
1983-01-16,23.843395820544256,26.42517190092192,20.514941016520098,89.77497329111175,2.9538396850345645,0.3203454889122425,5.910230884401823
1983-01-17,24.446522686842332,27.315512769804226,20.788204418392635,89.17995063901887,3.068318061471924,0.3519697952208908,6.527308351411591
1983-01-18,23.266034330700123,25.707593823981096,20.029640344184212,93.92254321781668,2.845739006057499,0.1860445036193517,5.677953479796884
1983-01-19,23.027199438967838,25.070358512908456,20.230733518525373,93.16706876679667,2.79904678534335,0.2053023559723313,4.839624994383083
1983-01-20,22.397389616344647,24.544226447428308,19.502287278963824,95.37653729296105,2.696778032254046,0.1356295761395627,5.041939168464484
1983-01-21,22.560299425300336,24.956411125153068,19.411779396177273,94.91930475009708,2.728513869713611,0.1500285567613098,5.544631728975794
1983-01-22,21.686535273741345,23.7964222938057,18.86694513906644,96.5482067799005,2.5840997372086596,0.0975661207665139,4.92947715473926
1983-01-23,22.9494213578165,26.141884458346627,19.011068085047203,93.16683015297716,2.817264458795232,0.2068945857600903,7.1308163732994245
1983-01-24,23.17309516412797,26.19211829928901,19.510046621007245,88.21386880949726,2.8570257096778686,0.3561681587483704,6.6820716782817655
1983-01-25,22.973993890450277,26.23788772042342,19.050352960120975,89.60849356463575,2.8297744876756443,0.3127564425739702,7.187534760302444
1983-01-26,23.611605086038747,26.11696043915636,20.36116504669189,90.59845970934772,2.9110446567610486,0.2909843015858507,5.755795392464471
1983-01-27,23.45237512496721,26.373125984912782,19.798191382190375,90.73952906150517,2.896332626737009,0.2859554856311617,6.574934602722408
1983-01-28,24.460399173793316,28.181944066145288,20.040571790980543,85.46561331260861,3.1063538921160956,0.4733243005599563,8.141372275164745
1983-01-29,24.928181181846742,27.71405925149993,21.376338587032528,86.39591913899099,3.1571822293161405,0.4526513113867579,6.337720664467401
1983-01-30,24.12895419570509,26.93340024797935,20.55391489614652,89.64292960279569,3.0095901034009738,0.3306501855061748,6.37948535183283
1983-01-31,24.786240109621392,28.633660909697767,20.17080063331784,87.02206194119191,3.167155788639399,0.4320761639419502,8.462860276379928
1983-02-01,22.875930505787604,25.857414932701538,19.15768454206271,93.081092053511,2.798889413593322,0.2079618725720352,6.699730390638827
1983-02-02,23.347027495777205,26.120252751928614,19.792381423664843,93.0729461129256,2.8697253934980376,0.212945585175762,6.327871328263772
1983-02-03,21.86188249346048,24.137416257633,18.86874803971118,96.19419246583472,2.615363565016919,0.1088766448610411,5.268668217921821
1983-02-04,22.623138169082548,25.43428586974857,19.08997996961038,93.4562108648105,2.7526170174906572,0.1938243093570386,6.344305900138192
1983-02-05,22.338237595579027,25.660387868956317,18.25925927838003,95.94744963157834,2.7184208701914687,0.1203099026924043,7.401128590576288
1983-02-06,23.197836054070198,26.10966143270177,19.567203219481343,91.12648261062742,2.8523907304748772,0.2694033435949189,6.542458213220428
1983-02-07,22.905054376089883,26.1756940451194,18.960683069829862,90.43505444864589,2.8168586741282247,0.2866237524926193,7.2150109752895375
1983-02-08,22.31283912091326,25.42294340809499,18.533705161312433,92.51397768155796,2.7131244507361587,0.2173990982137327,6.889238246782558
1983-02-09,22.859755204835697,26.237055695901702,18.79817216790567,91.03262827715534,2.812205597171633,0.2689508017827206,7.438883527996033
1983-02-10,23.026139909305396,26.03996928658072,19.302803281723985,91.40995087210588,2.8276354670524597,0.2595234482189802,6.737166004856736
1983-02-11,23.47387726016975,26.263433873184084,19.90495286964056,92.50453340725636,2.893130391132174,0.2324654009985172,6.358481003543524
