datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,temp_range,rain_sum
2014-01-01 00:00:00+00:00,23.335416666666664,24.090416666666666,22.360416666666666,24.155416666666667,1012.625,90.58333333333333,0.8329166666666667,256.5416666666667,0.18125000000000002,0.0,99.66666666666667,1.7949999999999993,0.18125000000000002
2014-01-02 00:00:00+00:00,24.538749999999997,26.02625,23.67625,25.301666666666666,1011.875,87.83333333333333,0.9595833333333333,228.83333333333334,0.41500000000000004,0.0,93.91666666666667,1.6254166666666663,0.41500000000000004
2014-01-03 00:00:00+00:00,24.486666666666665,25.47791666666667,23.217083333333335,25.497500000000002,1011.2083333333334,84.83333333333333,1.0920833333333333,218.75,0.2620833333333333,0.0,98.70833333333333,2.280416666666666,0.2620833333333333
2014-01-04 00:00:00+00:00,23.459999999999997,24.33875,22.02541666666667,24.675416666666667,1010.75,88.33333333333333,1.7562499999999999,222.79166666666666,0.3925,0.0,100.0,2.65,0.3925
2014-01-05 00:00:00+00:00,23.226249999999997,24.131249999999998,22.059583333333332,24.235416666666666,1009.9583333333334,87.33333333333333,2.035833333333333,220.29166666666666,0.08833333333333333,0.0,99.5,2.1758333333333333,0.08833333333333333
2014-01-06 00:00:00+00:00,23.095,23.690416666666664,21.924583333333334,24.160833333333333,1010.1666666666666,87.625,1.7216666666666667,224.0,0.049166666666666664,0.0,99.0,2.2362499999999996,0.049166666666666664
2014-01-07 00:00:00+00:00,23.93875,25.144583333333333,23.000416666666666,24.78708333333333,1010.6666666666666,88.0,1.0804166666666666,269.125,0.07916666666666668,0.0,91.79166666666667,1.7866666666666664,0.07916666666666668
2014-01-08 00:00:00+00:00,22.53,23.292916666666667,21.77125,23.20958333333333,1012.0416666666666,93.95833333333333,1.05,236.375,1.62375,0.0,96.5,1.4383333333333332,1.62375
2014-01-09 00:00:00+00:00,24.808333333333334,26.02333333333333,23.768333333333334,25.7075,1011.0833333333334,81.66666666666667,1.95125,206.58333333333334,0.5108333333333334,0.0,88.25,1.9391666666666663,0.5108333333333334
2014-01-10 00:00:00+00:00,24.000416666666666,25.144583333333333,22.792916666666667,25.034583333333334,1010.9166666666666,86.5,1.3029166666666667,192.91666666666666,0.46166666666666667,0.0,99.29166666666667,2.2416666666666667,0.46166666666666667
2014-01-11 00:00:00+00:00,24.23125,25.592916666666667,23.534166666666668,24.90125,1011.75,90.0,1.3791666666666667,69.79166666666667,0.49625,0.0,98.25,1.3670833333333334,0.49625
2014-01-12 00:00:00+00:00,23.13291666666667,24.062916666666666,22.5675,23.700416666666666,1012.9583333333334,94.45833333333333,0.9925,152.75,0.7745833333333333,0.0,99.58333333333333,1.1329166666666668,0.7745833333333333
2014-01-13 00:00:00+00:00,22.97583333333333,23.749166666666667,22.288749999999997,23.624583333333334,1012.75,94.0,0.7579166666666667,268.4583333333333,0.6166666666666667,0.0,100.0,1.3358333333333334,0.6166666666666667
2014-01-14 00:00:00+00:00,23.893333333333334,24.935000000000002,23.064999999999998,24.711250000000003,1012.4166666666666,88.66666666666667,1.1741666666666666,258.3333333333333,0.39208333333333334,0.0,92.29166666666667,1.6462499999999995,0.39208333333333334
2014-01-15 00:00:00+00:00,22.739166666666666,23.427916666666665,21.639583333333334,23.699583333333333,1013.3333333333334,91.58333333333333,1.4695833333333335,240.41666666666666,0.25875,0.0,100.0,2.0600000000000005,0.25875
2014-01-16 00:00:00+00:00,23.215,23.95875,22.60375,23.793333333333333,1012.625,93.25,1.0595833333333333,247.08333333333334,1.1791666666666667,0.0,98.16666666666667,1.1895833333333339,1.1791666666666667
2014-01-17 00:00:00+00:00,23.234583333333333,24.070833333333336,22.64708333333333,23.821250000000003,1012.625,94.125,1.2025,164.70833333333334,0.4870833333333333,0.0,99.83333333333333,1.1741666666666666,0.4870833333333333
2014-01-18 00:00:00+00:00,22.931250000000002,23.776666666666667,22.344583333333333,23.518333333333334,1013.625,95.625,1.3979166666666665,219.41666666666666,0.7566666666666667,0.0,100.0,1.1737499999999998,0.7566666666666667
2014-01-19 00:00:00+00:00,22.78,23.58791666666667,22.250833333333333,23.306250000000002,1013.25,94.75,0.7858333333333333,229.5,0.31333333333333335,0.0,99.45833333333333,1.0554166666666664,0.31333333333333335
2014-01-20 00:00:00+00:00,23.07875,23.84375,22.52541666666667,23.633333333333336,1012.3333333333334,92.0,1.2566666666666666,318.7083333333333,0.6483333333333333,0.0,99.41666666666667,1.1079166666666669,0.6483333333333333
2014-01-21 00:00:00+00:00,22.310833333333335,23.079583333333332,21.737916666666667,22.885,1012.9166666666666,95.04166666666667,1.2058333333333333,281.7916666666667,0.5825,0.0,98.45833333333333,1.1470833333333337,0.5825
2014-01-22 00:00:00+00:00,23.9225,24.94875,23.25375,24.584166666666665,1012.5416666666666,89.58333333333333,1.34375,200.66666666666666,0.14833333333333334,0.0,98.20833333333333,1.3304166666666668,0.14833333333333334
2014-01-23 00:00:00+00:00,21.847083333333334,22.610833333333332,21.224999999999998,22.46875,1012.75,96.625,1.06625,229.04166666666666,0.2225,0.0,100.0,1.24375,0.2225
2014-01-24 00:00:00+00:00,22.795,23.525000000000002,21.909583333333334,23.613333333333333,1011.875,92.95833333333333,1.2633333333333334,140.70833333333334,0.2870833333333333,0.0,92.125,1.7037499999999997,0.2870833333333333
2014-01-25 00:00:00+00:00,23.807916666666667,24.737083333333334,23.147916666666664,24.469583333333333,1012.125,90.04166666666667,1.1475,249.45833333333334,0.19375,0.0,73.91666666666667,1.3216666666666665,0.19375
