datetime,heat_index,maximum_temperature,minimum_temperature,relative_humidity,saturation_vapor_pressure,vapor_pressure_deficit,temperature_range
1983-01-01,26.12648972855578,29.044201875344303,22.010045076027897,80.83440027481471,3.3438023830944803,0.6446795401337383,7.034156799316406
1983-01-02,28.006373177614943,29.842859470800605,22.872178556281565,77.25052874778216,3.5104495824038326,0.8025859347629897,6.97068091451904
1983-01-03,23.582660828754584,25.366618921468543,21.06241278595977,90.35567941071784,2.8774858656383695,0.281230102774206,4.304206135508775
1983-01-04,25.28689209406678,28.514536728352414,21.34061174078302,83.11870737040874,3.2294169022486763,0.5488528249027965,7.173924987569393
1983-01-05,25.882654993525357,28.664231632218694,21.915477291568298,85.20657351427462,3.292118189535735,0.4908967641465393,6.748754340650397
1983-01-06,25.278219642996255,28.282976010780196,21.56311480204264,82.81857095795236,3.220739239738101,0.5568899996988066,6.719861208737555
1983-01-07,25.16134006685002,27.98441516610729,21.63278008205987,83.07100534963085,3.193087898331248,0.544397506303403,6.35163508404742
1983-01-08,24.54347740114342,27.041193252954727,21.242768535683883,89.35811757517385,3.0604410468440353,0.3291484759404109,5.798424717270844
1983-01-09,26.07044629852705,29.363997882102435,21.52072701087365,83.18198618347392,3.3423007809635483,0.5662945460923863,7.8432708712287855
1983-01-10,26.05549030979329,28.7274895692483,22.111811913850108,83.85736396985178,3.3152666877914263,0.5389392581178155,6.615677655398191
1983-01-11,25.34585242451912,28.884061820341117,21.089928693387098,82.85587827801267,3.2525115956316935,0.5616686811377277,7.794133126954019
1983-01-12,26.336350695214527,28.955395464495425,22.49664736318065,79.77293365254944,3.3732727988735665,0.6859658654137845,6.458748101314775
1983-01-13,25.71010300819108,28.368649220728617,22.028647433270464,80.72932327885331,3.2681750430292262,0.6341091967546023,6.340001787458153
1983-01-14,25.00109800246366,28.451037913451707,20.822019793611744,84.63549147944748,3.1822526952722567,0.4926637855423239,7.629018119839962
1983-01-15,25.367532372232084,27.963698376666056,22.03376666617481,83.57257334391275,3.222964507756216,0.533245855744505,5.929931710491246
1983-01-16,26.478869197909113,28.788965001647725,22.852203515859753,81.28585172660186,3.3839042605934564,0.637053520251543,5.936761485787972
1983-01-17,28.502560088825643,29.89478340428391,23.170131704309487,80.26952761695497,3.542202689272143,0.7029615526015942,6.724651699974423
1983-01-18,25.81024915161878,28.043579332121123,22.393958507440033,85.78664149469508,3.2613061242924504,0.4674727494245047,5.64962082468109
1983-01-19,25.43711994933462,27.44123099051116,22.658480242495138,84.79111782535091,3.2177777788141273,0.4935905773997743,4.782750748016021
1983-01-20,24.782699302390775,26.814972573584253,21.96359109005212,87.7923810071561,3.0940766884730415,0.3814835577875703,4.851381483532133
1983-01-21,24.858759537333153,27.16171892047365,21.77742696070409,87.16072048983732,3.115388755833273,0.4036374270042657,5.384291959769559
1983-01-22,24.09149657433044,26.23567671304221,21.1838866852142,89.49820594647865,2.9729267319480144,0.3161763854788773,5.051790027828009
1983-01-23,25.406730040137628,28.718766271849695,21.332577017200737,84.40853820353637,3.252353373027983,0.5112422290957456,7.386189254648958
1983-01-24,25.743965037139784,28.617183755168988,21.890140715099516,79.56906245304988,3.284829581613506,0.6749339722670041,6.727043040069471
1983-01-25,25.4627189123878,28.75022324362954,21.5097710955274,80.30631918435567,3.2698710130684545,0.6480432244447561,7.24045214810214
1983-01-26,26.184023172815603,28.498239237746912,22.613286769433778,82.24605624579685,3.3304859744760145,0.5949650294396467,5.884952468313134
1983-01-27,26.107203181215947,28.77527848966829,22.19655739780747,82.17132722065125,3.327917076292492,0.5975253589642354,6.578721091860817
1983-01-28,28.181063924128804,30.46274941832155,22.485947919852567,76.86516707982773,3.554096864693331,0.8256086641615563,7.9768014984689835
1983-01-29,29.02868332201065,30.21227557143886,23.629071993705555,77.59506038344388,3.6212220908084634,0.815510094165802,6.583203577733304
1983-01-30,26.889293392741884,29.381138253124643,22.98158581352933,80.41358059055203,3.4641771264128636,0.6824368547388922,6.399552439595315
1983-01-31,28.824455515854144,31.04332023313194,22.522719575371937,78.2671108036251,3.631037265826494,0.7928447260524765,8.520600657760003
1983-02-01,25.358673549057464,28.41980568043915,21.533923970037325,84.65265390025826,3.234084826249343,0.5005055757669301,6.885881710401826
1983-02-02,26.001551934359867,28.496804303738664,22.211118425641743,84.96428688803873,3.2970563256260244,0.4995989478551424,6.2856858780969205
1983-02-03,24.271628054167422,26.528758821033293,21.24372590592493,89.10370543762878,3.0074730312431255,0.3318283348293095,5.2850329151083635
1983-02-04,25.068399617960168,27.94487716339447,21.452289231967576,84.79977375072438,3.1745000042758145,0.4864555184657757,6.492587931426893
1983-02-05,24.697059721397487,27.77575991005251,20.813633083860516,88.83934806292747,3.1066013875898424,0.3508979136144722,6.962126826191994
1983-02-06,25.562060258715533,28.39301478906429,22.003478759374374,82.42633140480126,3.2682799550639845,0.5778529463888525,6.389536029689914
1983-02-07,25.27384804961252,28.531378798432403,21.32482434367086,82.07730859889216,3.230189269278949,0.5828485829489571,7.2065544547615445
1983-02-08,24.69173332031151,27.686482607663333,21.00396254822448,84.36811303219079,3.111378078495626,0.4903351734409402,6.682520059438854
1983-02-09,25.28770620666678,28.67073888394422,21.19466254824684,82.76883063124212,3.2360780902834603,0.5617988384686985,7.476076335697382
1983-02-10,25.708765147127274,28.536078812875154,21.79038708725255,83.02061535063245,3.2677857308160694,0.5591829492277277,6.745691725622603
1983-02-11,26.314860876857345,28.86748042124095,22.390921805804467,83.57393282935733,3.3546335959172513,0.5554303364220993,6.476558615436481
